Time_s,Avg_Speed_mps,Rep_Speed_mps
0,0,0
1,0.210783018287572,0.03828125
2,0.421566036575144,0.0765625
3,0.632349054862716,0.11484375
4,0.843132073150288,0.153125
5,1.05391509143786,0.19140625
6,1.26469810972543,0.2296875
7,1.46765405548769,0.26796875
8,1.66667042914728,0.30625
9,1.86940094809512,0.34453125
10,2.07931637827628,0.3828125
11,2.29276284586665,0.42109375
12,2.50620931345701,0.459375
13,2.71965578104738,0.49765625
14,2.93310224863775,0.5359375
15,3.14654871622812,0.57421875
16,3.35999518381848,0.6125
17,3.57344165140885,0.65078125
18,3.78688811899922,0.6890625
19,4.00033458658959,0.72734375
20,4.21378105417996,0.765625
21,4.42419528908971,0.80390625
22,4.59790791028172,0.8421875
23,4.77162053147372,0.88046875
24,4.94658853485137,0.91875
25,5.12453807091994,0.95703125
26,5.30248760698852,0.9953125
27,5.45892110681962,1.03359375
28,5.61163578559812,1.071875
29,5.76435046437663,1.11015625
30,5.90954927797216,1.1484375
31,6.04998804364252,1.18671875
32,6.19042680931289,1.225
33,6.32584823852859,1.26328125
34,6.43828748117255,1.3015625
35,6.57420035917754,1.33984375
36,6.72409316249364,1.378125
37,6.87398596580974,1.41640625
38,7.01992512418992,1.4546875
39,7.16532590071037,1.49296875
40,7.31072667723082,1.53125
41,7.45612745375127,1.56953125
42,7.61357082084428,1.6078125
43,7.78761706798934,1.64609375
44,7.96332703314276,1.684375
45,8.12943812406703,1.72265625
46,8.30318884406531,1.90178571428571
47,8.51215161763502,2.43303571428571
48,8.72111439120473,2.96428571428571
49,8.93007716477445,3.49553571428571
50,9.14090139747671,4.02678571428571
51,9.38090119237301,4.55803571428571
52,9.62744083898564,5.08928571428571
53,9.87398048559828,5.62053571428571
54,10.1218082138066,6.15178571428571
55,10.3746886006631,6.68303571428571
56,10.6055577703528,7.00131603826116
57,10.8036583221864,7.28887958204075
58,10.965203244206,7.57644312582034
59,11.1009836003503,7.86400666959994
60,11.1190483626429,8.15157021337953
61,11.1432181783573,8.43913375715912
62,11.1799848323508,8.72669730093872
63,11.2167514863442,9.01426084471831
64,11.2535181403377,9.3018243884979
65,11.2936109600196,9.5893879322775
66,11.3344766774666,9.87695147605709
67,11.374317318794,10.1645150198367
68,11.4141579601214,10.4520785636163
69,11.4755255868903,10.7396421073959
70,11.5106605254477,11.0272056511755
71,11.5512399819037,11.3147691949551
72,11.6143276864124,11.6023327387346
73,11.6762112229254,11.8898962825142
74,11.7399576265803,12.1960884977118
75,11.8044512728415,12.5097531389733
76,11.8689449191028,12.8234177802349
77,11.8292395365403,13.1370824214965
78,11.8501418739517,13.4507470627581
79,11.9136261688611,13.7644117040196
80,11.9561943897492,14.0780763452812
81,11.9968298549013,14.3917409865428
82,12.0254694266244,14.7054056278043
83,11.9979798423809,15.0190702690659
84,11.9368022970003,15.3327349103275
85,11.8775127536349,15.6652795717412
86,11.8331168922318,16.1467610527771
87,11.7887210308286,16.628242533813
88,11.7443251694254,17.1097240148489
89,11.6999293080223,17.5912054958848
90,11.6421814813237,18.0726869769206
91,11.5697142073654,18.5541684579565
92,11.6286207282924,19.0356499389924
93,11.6843618658179,19.5171314200283
94,11.7266759579813,19.8274343910035
95,11.6339542661271,18.7873795218026
96,11.5412325742729,17.7473246526016
97,11.4485108824187,16.7072697834006
98,11.3650176886008,15.6672149141996
99,11.2829937516743,14.6271600449986
100,11.1377703282931,13.5871051757976
101,11.0227873181153,12.5470503065966
102,10.8343350969422,11.5069954373956
103,10.6458828757691,10.4669405681946
104,10.457430654596,9.4268856989936
105,10.2992335793896,8.38683082979261
106,10.1510589080337,7.34677596059162
107,9.99475259550664,6.30672109139062
108,9.82052527692324,5.26666622218963
109,9.72479491512549,5.01158092084518
110,9.68512863901636,5.31713647638685
111,9.64546236290723,5.62269203192852
112,9.62107660916284,5.92824758747018
113,9.65083457848992,6.23380314301185
114,9.680592547817,6.53935869855351
115,9.71035051714408,6.84491425409518
116,9.70958955383491,7.15046980963685
117,9.68037341535507,7.45602536517852
118,9.69600661964987,7.76158092072018
119,9.7842911080788,8.06713647626185
120,9.87257559650773,8.37269203180351
121,9.96086008493665,8.67824758734518
122,10.0655637533625,8.98380314288685
123,10.1824315751245,9.28935869842852
124,10.2928587728574,9.59491425397018
125,10.4580887131662,9.91841076630823
126,10.6653612360996,10.3056202796638
127,10.8639317932448,10.6928297930193
128,11.0626610778545,11.0800393063748
129,11.2669131550907,11.4672488197303
130,11.4704860411104,11.8544583330858
131,11.6692635956838,12.2416678464413
132,11.8680411502572,12.6288773597969
133,12.0688067191605,13.0160868731524
134,12.2768348524089,13.4032963865079
135,12.4848629856573,13.7905058998634
136,12.6928911189056,14.1777154132189
137,12.900919252154,14.5649249265745
138,13.1089473854024,14.95213443993
139,13.2478873012276,15.2623969666987
140,13.3473472246696,15.5190617048083
141,13.4464179877878,15.7757264429178
142,13.5445158633154,16.0323911810274
143,13.62561799704,16.289055919137
144,13.6728395497796,16.5457206572465
145,13.7200611025192,16.8023853953561
146,13.7282374147609,16.9740538722184
147,13.6311084776575,16.5331202297885
148,13.5571376271232,16.0921865873586
149,13.4816099375031,15.6512529449287
150,13.4060822478831,15.2103193024988
151,13.3305545582631,14.7693856600688
152,13.2431604118275,14.3284520176389
153,13.1498437532418,13.887518375209
154,13.0484131378414,13.4465847327791
155,12.933404713024,13.0056510903492
156,12.8153544525245,12.5647174479192
157,12.697304192025,12.1237838054893
158,12.5732926703997,11.6232375518017
