MASS,HW,RRC,Cd,AUX_kW,Engine_Eff,Idle_Fuel_Lph,fuel_l_per_100km,co2_g_per_km,distance_km
1029.296875,-0.01953125,0.01006640625,0.308984375,3.896484375,21.71875,0.8017578125,11.144067528076743,266.56609527159566,4.085002034659732
2787.109375,-0.01953125,0.01006640625,0.308984375,3.896484375,21.71875,0.8017578125,18.292125405196632,437.5476396923034,4.085002034659732
1029.296875,-2.12890625,0.01006640625,0.308984375,3.896484375,21.71875,0.8017578125,10.896252147332286,260.6383513641883,4.085002034659732
1029.296875,-0.01953125,0.008449218750000001,0.308984375,3.896484375,21.71875,0.8017578125,10.958919224806909,262.13734785738126,4.085002034659732
1029.296875,-0.01953125,0.01006640625,0.341015625,3.896484375,21.71875,0.8017578125,11.248568846293793,269.06576680334746,4.085002034659732
1029.296875,-0.01953125,0.01006640625,0.308984375,4.990234375,21.71875,0.8017578125,12.629189326166593,302.09020868190487,4.085002034659732
1029.296875,-0.01953125,0.01006640625,0.308984375,3.896484375,23.78125,0.8017578125,10.234777739385086,244.81588352609123,4.085002034659732
1029.296875,-0.01953125,0.01006640625,0.308984375,3.896484375,21.71875,0.7544921875000001,11.105177702315789,265.6358506393937,4.085002034659732
2787.109375,-2.12890625,0.008449218750000001,0.341015625,4.990234375,23.78125,0.7544921875000001,17.476828063471437,418.0457272782367,4.085002034659732
3529.296875,4.98046875,0.007066406250000001,0.408984375,1.396484375,29.71875,1.3517578125,13.865085219322992,331.652838446206,4.085002034659732
5287.109375,4.98046875,0.007066406250000001,0.408984375,1.396484375,29.71875,1.3517578125,18.677757256707313,446.77195358043895,4.085002034659732
3529.296875,2.87109375,0.007066406250000001,0.408984375,1.396484375,29.71875,1.3517578125,13.53313481598479,323.7125847983562,4.085002034659732
3529.296875,4.98046875,0.01144921875,0.408984375,1.396484375,29.71875,1.3517578125,14.996020090049244,358.704800553978,4.085002034659732
3529.296875,4.98046875,0.007066406250000001,0.441015625,1.396484375,29.71875,1.3517578125,13.998111274028977,334.83482167477314,4.085002034659732
3529.296875,4.98046875,0.007066406250000001,0.408984375,2.490234375,29.71875,1.3517578125,14.947792272744827,357.5511911640563,4.085002034659732
3529.296875,4.98046875,0.007066406250000001,0.408984375,1.396484375,31.78125,1.3517578125,13.038061967718987,311.8704422678382,4.085002034659732
3529.296875,4.98046875,0.007066406250000001,0.408984375,1.396484375,29.71875,1.3044921875000002,13.825873990043313,330.71490584183607,4.085002034659732
5287.109375,2.87109375,0.01144921875,0.441015625,2.490234375,31.78125,1.3044921875000002,19.98885085348625,478.1333124153911,4.085002034659732
4779.296875,-2.51953125,0.011566406250000001,0.258984375,0.146484375,33.71875,0.5267578125000001,13.9612171732138,333.9523147832741,4.085002034659732
4037.109375,-2.51953125,0.011566406250000001,0.258984375,0.146484375,33.71875,0.5267578125000001,11.940608341201377,285.619351521537,4.085002034659732
4779.296875,0.37109375,0.011566406250000001,0.258984375,0.146484375,33.71875,0.5267578125000001,14.144578223822654,338.33831111383785,4.085002034659732
4779.296875,-2.51953125,0.00994921875,0.258984375,0.146484375,33.71875,0.5267578125000001,13.429239310719328,321.22740431240635,4.085002034659732
4779.296875,-2.51953125,0.011566406250000001,0.391015625,0.146484375,33.71875,0.5267578125000001,14.15903767130946,338.6841810977223,4.085002034659732
4779.296875,-2.51953125,0.011566406250000001,0.258984375,1.240234375,33.71875,0.5267578125000001,14.917806283197535,356.8339262940851,4.085002034659732
4779.296875,-2.51953125,0.011566406250000001,0.258984375,0.146484375,27.78125,0.5267578125000001,16.852423990278453,403.10998184746063,4.085002034659732
4779.296875,-2.51953125,0.011566406250000001,0.258984375,0.146484375,33.71875,0.4794921875,13.922327347452871,333.0220701510727,4.085002034659732
4037.109375,0.37109375,0.00994921875,0.391015625,1.240234375,27.78125,0.4794921875,15.5528084220172,372.02317745465143,4.085002034659732
2279.296875,2.48046875,0.00856640625,0.358984375,2.646484375,25.71875,1.0767578125,12.767565092715241,305.4001570177486,4.085002034659732
1537.109375,2.48046875,0.00856640625,0.358984375,2.646484375,25.71875,1.0767578125,10.319291840396179,246.8374608222766,4.085002034659732
2279.296875,-4.62890625,0.00856640625,0.358984375,2.646484375,25.71875,1.0767578125,11.947822055129578,285.7919035586995,4.085002034659732
2279.296875,2.48046875,0.00694921875,0.358984375,2.646484375,25.71875,1.0767578125,12.435456934552203,297.4561298744887,4.085002034659732
2279.296875,2.48046875,0.00856640625,0.291015625,2.646484375,25.71875,1.0767578125,12.516118466105967,299.3855537092547,4.085002034659732
2279.296875,2.48046875,0.00856640625,0.358984375,3.740234375,25.71875,1.0767578125,14.018664008637693,335.32644308661366,4.085002034659732
2279.296875,2.48046875,0.00856640625,0.358984375,2.646484375,35.78125,1.0767578125,9.42824387208397,225.52359342024855,4.085002034659732
2279.296875,2.48046875,0.00856640625,0.358984375,2.646484375,25.71875,1.0294921875,12.728353863435544,304.46222441337824,4.085002034659732
1537.109375,-4.62890625,0.00694921875,0.291015625,3.740234375,35.78125,1.0294921875,7.709099692651218,184.40166464821712,4.085002034659732
2904.296875,-3.76953125,0.00631640625,0.38398437500000004,3.271484375,23.71875,0.6642578125,15.036138143417368,359.66442439054345,4.085002034659732
4662.109375,-3.76953125,0.00631640625,0.38398437500000004,3.271484375,23.71875,0.6642578125,20.937446700474727,500.82372507535547,4.085002034659732
2904.296875,1.62109375,0.00631640625,0.38398437500000004,3.271484375,23.71875,0.6642578125,15.756828771489193,376.90334421402144,4.085002034659732
