index,MASS,HW,RRC,Ta,Tb,SoC_pct,BAge_pct,MR_mOhm,AUX_kW,BR_pct,energy_kwh,energy_kwh_per_km,regen_pct,distance_km
1,4008.6031602695584,3.1436797231435776,0.010838476600125432,11.33641711436212,23.06496693752706,91.99389987625182,13.95551698282361,54.831699535250664,4.224915839731693,105.73292411863804,1830.6731896995443,455.3027350138129,4.1458925291057565,4.020782325509215
2,4518.442160915583,-4.272627234458923,0.0067602813094854355,28.80708420649171,30.676905443891883,64.92224032990634,8.345112539827824,50.675089471042156,2.6003963984549046,134.6972043160349,1196.066855338297,297.47117812124293,11.531938557711243,4.020782325509215
3,5952.8201296925545,1.3174912612885237,0.009234494319185615,16.805866351351142,31.70133067946881,60.5469505302608,19.735916070640087,53.13826009631157,1.8808844164013863,142.4182514194399,1514.820167538502,376.7476189715534,9.362535792530318,4.020782325509215
4,2520.1389235444367,-1.1183464992791414,0.008343755777925253,23.33459811285138,22.046863961033523,83.86595007032156,2.885310295969248,57.3569016829133,3.2564414478838444,123.01206775009632,1171.604149634942,291.38711195626917,5.229296915148708,4.020782325509215
5,3051.973023917526,0.3576707933098078,0.006042878704145551,28.20575527381152,19.23728123214096,98.82933022454381,16.84992339462042,52.50187058746815,1.039786707609892,130.67111494019628,757.7001204645644,188.4459438794924,10.457246135293365,4.020782325509215
6,5421.238663606346,-2.0391020830720663,0.011621064662933351,21.654557683505118,32.87558692600578,69.0225899219513,1.2395952083170414,56.96976449340582,3.664199322462082,109.75736859254539,1847.928650332622,459.5943029814701,6.637156420876228,4.020782325509215
7,5050.022492650896,4.7229271568357944,0.007632203942164779,33.67676242720336,27.609998369589448,55.27626168914139,11.997683364897966,55.468594908714294,4.821209412068129,117.47822496108711,2022.3661876100527,502.9782823057771,5.7645383449034115,4.020782325509215
8,3476.768108084798,-2.7324399165809155,0.010022950362414122,16.180483871139586,24.51314883865416,75.07890998385847,5.147153921425343,51.061725445091724,2.4457591772079468,147.95006783679128,1168.4768631077247,290.6093313469145,7.213292167283318,4.020782325509215
9,3764.040236361325,2.4492732901126146,0.00794611805677414,20.430753068067133,29.284646994434297,85.28999085538089,15.243317876011133,52.099830746650696,1.2805071957409382,121.15665068849921,1031.4216652425464,256.5226321004386,8.170146103683457,4.020782325509215
10,4708.0664108507335,-0.1429672073572874,0.010430563347414136,26.40220459084958,24.063059902749956,59.335009986534715,2.142789624631405,56.38168961554766,3.905896209180355,137.63304366730154,1757.9758532647843,437.2223390735643,6.134950923912213,4.020782325509215
